	ihuman	BLCA	BRCA	CESC	COAD	GBM	HNSC	KICH	KIRC	KIRP	LIHC	LUAD	LUSC	OV	PAAD	PRAD	READ	SKCM	STAD	TGCT	THCA	UCEC
Cholesterol biosynthesis 1 (Bloch pathway)	0.0	41.553655847934536	0.0	0.0	0.06973546371320195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.34595641218796	0.0	0.0	0.0	0.0	0.0	0.0
Cholesterol biosynthesis 2	0.0	6.388142235016382	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.190205201057789	6.390719512649985	0.0	0.0	6.7029996447962645	0.0	2.5284909921778356	0.0	0.0	0.0	6.349988544952833	7.124476648661242	3.19020520105779
Cholesterol biosynthesis 3 (Kandustch-Russell pathway)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cholesterol metabolism	0.0	8.174010650644263	1.9831915530307476	0.0	0.0018256305691273377	3.1902052010577897	3.7062988262782577	125.96632694024849	22.836296670375745	0.0	17.91265655199411	10.852280651324017	4.130012526070372	8.108581792738972	1.5697169153103285	167.22741330174594	4.467996564619376	3.18855545586117	3.307417580890366	0.01521092858137435	-7.105427357601002e-15	0.2515825824448914
Chondroitin / heparan sulfate biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chondroitin sulfate degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cysteine and methionine metabolism	0.006037374974046902	413.06605279958876	3.2960999471855094e-13	97.85792288801511	224.30157129164502	0.0	975.759072563604	2.1211740101487407e-13	0.0	6.113417425557051	1085.0840089013682	62.74854221526726	1000.0000000000001	66.19068308876726	60.07726566321015	0.0	-7.245573064770225	0.0	0.010339078878982996	0.0	1.070107500557033e-12	-310.0770079411278
Dietary fiber binding	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Drug metabolism	-1988.1955221643368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.004949763787484741	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eicosanoid metabolism	-813.5812853558148	0.0	0.0	-882.2366031716896	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-81.67265094516188	-944.0594047690082	0.0	0.0	0.0	0.04123644213762494	-1013.3127113781446	-15.947551908224487	0.0	0.0	0.0
Estrogen metabolism	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1781914963494507	0.0	0.0	0.0	0.0	0.0	17.068046042453634	0.0	0.25158258244489146
Ether lipid metabolism	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Exchange/demand reactions	-775.7718740135376	2814.649585391281	863.0035305522487	1972.4333691689565	-458.5387219318973	1961.0551355383395	1123.3051049813428	-323.5552477837664	1469.8852658338008	1229.0242429200189	345.254756151635	2145.337506046059	3101.9158725541492	834.1300701064462	962.1918231671608	924.186433779886	1641.541935657252	2609.9718679177613	786.7750912854364	601.9609216318659	2703.856845602066	-1141.0512986566962
Fatty acid activation (cytosolic)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fatty acid activation (endoplasmic reticular)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fatty acid biosynthesis	0.005159551890956056	65.45620728126079	185.39062674897798	369.9975964290069	0.07285508403590785	0.5122616829511317	1.2690228342069416	46.56075000351717	0.07568782087414229	0.0	39.786178977836144	7.326646290825222	49.58546064611668	85.25773429646009	67.93375992723108	2.8168528681154203	28.537849200740265	420.63888757276015	4.321639835215413	1.8497339860799396	37.76856371800435	8.59161599815542
Fatty acid biosynthesis (even-chain)	0.0	0.0	0.0018685958591415075	1090.5014372184376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2171310645583972	0.0	0.0	5.368952011189385	0.0	876.1534635502143	0.0	0.0	-1.3810913372772318e-18	0.0
Fatty acid biosynthesis (odd-chain)	0.0	0.0	0.0	0.0	0.0	0.0	1.4016300210698418	0.0	0.0	0.0	0.0	0.0	5.753743143872181	0.0	0.0	0.09737990568780458	0.5136954981217076	0.1772123625916664	0.0	0.25052863228278155	0.007835791913716299	0.0
Fatty acid biosynthesis (unsaturated)	0.0	0.0	0.0	0.0	0.0	0.0	0.018542285936064704	0.0	0.02522927362471409	0.0	0.0	0.039824314040318484	0.9740334246432525	0.03385905863259153	0.0	0.06189038999009173	0.0013917021971501168	2.085900748822014	0.0	0.0801691623304901	0.0	0.00742687375273058
Fatty acid degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fatty acid desaturation (even-chain)	0.0	0.0	7.281558796793218	0.0	1.6604184652715575e-05	0.03610295305063776	2.0546806650577154	0.0	2.4362017343864544	0.0	2.7281544061105523	0.0752492456300331	0.054707179720110445	0.0	0.014858176531992284	0.1650588277966827	9.056170036635876	1.3620381793501755	0.4135383830421808	0.0033403817637703797	0.14389287795903252	0.001856718438182645
Fatty acid desaturation (odd-chain)	0.0	0.147258359214043	2.76288127257152e-06	0.0	4.993739745218655e-07	0.0	0.0	0.0	0.0	0.0	0.0	8.089176807023634e-05	0.10941435944022089	0.0	0.0	0.00215349684720017	0.0	0.0	0.04101207104550551	0.0	0.0	0.0
Fatty acid elongation (even-chain)	0.0	1.3054254546542188	185.38980106713996	0.0	0.0	0.0	3.4550459460867224	0.0	17.644723241284414	0.0	0.0	0.0	0.19420520824064239	0.03335083546636241	0.023575341272559842	0.023811341728807306	0.0	5.988085610915354	0.0	2.9653215528784678	0.8521303473245556	0.018946442537768064
Fatty acid elongation (odd-chain)	0.0	1.5601426165379666	1.1051525090286078e-05	0.0	0.0001289217144223683	0.0043290066862217615	0.0061807619786882345	0.312226320224759	0.0	0.0	0.0	0.0003235670722809454	0.3406670869217062	0.03335083546636241	0.0	0.008293806572914354	0.0013503238214361822	0.0	0.0	0.08016916233049007	0.9466232878198991	0.01894644253776806
Fatty acid metabolism	0.0	0.0	0.0	38.959381272998776	1000.0	717.012868259369	0.0	0.0	0.0	0.0	127.480795672428	0.0	0.0	0.0	0.0	996.2659544283082	0.0	30.36745914423447	0.0	0.0	0.0	2.3345921517240913
Fatty acid oxidation	4.315865262265517	682.2236403735363	268.10884384030703	92.27935267922715	165.99108814638424	-0.8526566936968732	11.66467555282111	293.1941743334448	13.692636436627613	1.4248199692818158	-339.6650665471216	78.44849501192026	68.78011979142427	580.2075061457592	122.98204668032812	443.0602911610231	57.514445385043885	1817.862046430847	182.8976798987946	20.036165137826682	111.91700814991589	8.001395508684471
Folate metabolism	-5.020361365959718	242.34665562791017	-5.020359517550425	5.035868135868897	5.041037675308335	-5.030698596429431	9.219674166355814	825.5301964796208	5.030698596429402	692.6780487801539	42.02910485168029	5.030698596429411	1.0001935002496285	258.5494451205633	1.0053630396891526	30.84317959857379	-5.020359517550418	-5.007429615626289	5.0358681358688955	-5.010020438671661	1.0053630396890867	-0.9846848819309688
